Company Name,Job Profile,Individual Stipend
AdvantIoT,Web Development, 10000 /month
Shadovein,Photoshop Editing, 3000-6000 /month
Assure,Business Development (Sales), 15000 /month
Devlance,Blockchain Development, 15000 /month
Nuvoretail,Full Stack Development, 15000 /month
Durvesh Santosh Naik,Web Development, 6500 /month
Growthic,Web Development, 7000-10000 /month
Nasya Software Technologies Private Limited,Python Full Stack Development, 5000-8000 /month
MetaboliX,Business Development (Sales), 10000 /month
Security Software & Solutions LLP,.NET Development, 10000 /month
StartupLanes,Graphic Design, 10000 /month
Better Earth Jewels,No-code Development (Bubble.io), 8000-15000 /month
Vayuz Technologies Private Limited,Flutter Development, 15000 /month
Apex Classes,Web Development, 20000 /month
Latx Technologies,Business Development (Sales), 2000-7000 /month
Emerging Brilliance,Business Development (Sales), 7000-10000 /month
Bridcodes Global Private Limited,Software Testing, 5000-7000 /month
Brandintelle,Software Development, 6000-8000 /month
4M Global Solutions Private Limited,Business Development (Sales), 12000 /month
Metricoid Technology Solutions Private Limited,Full Stack Development, 7000 /month
Argoid.ai,Market Research Analysis, 15000 /month
Mindstein Software (MNDS Technology (OPC) Private Limited),Flutter App Development, 4000-6000 /month
BrandTouch & Analytics Private Limited,Growth Mangement, 8000-10000 /month
One Stop Biology,Business Development (Sales), 15000-25000 /month
Redpositive Service (OPC) Private Limited,Mobile App Development (React Native), 8000-15000 /month
ExactSpace,Data Engineering, 8000 /month
Donut Delights,Graphic Design, 10000 /month
WebScoot.io,Linux Server Administration (Cloud), 12500-15000 /month
Webhooters,Business Development (Sales), 6000 /month
GrayQuest Education Finance Private Limited,Quality Analysis, 6000 /month
EVidyaloka,Business Development (Sales), 10000 /month
Dealfind,Business Development (Sales), 6000-9000 /month
Coffee Hours Club,Graphic Design, 6000 /month
Centillion,Placements & Partnership Management, 7000-12000 /month
Iraitech Innovations & Technologies Private Limited,Backend Development, 7000-14000 /month
Beyond Extremes,Graphic Design, 12000 /month
The SMarketers,Web Development, 10000 /month
Office Chalao,Marketing, 15000 /month
Kan Innovations,Marketing, 8000 /month
Inmovidu Technologies,Marketing, 6000 /month
Datastack Technologies Private Limited,ASP.NET Development, 7000-12000 /month
Almond Solutions Private Limited,Graphic Design, 4000-6000 /month
Setlmint,Web Development, 7500 /month
Its For You Private Limited,Software Testing, 10000-20000 /month
SkinnYoga,Graphic Design, 10000 /month +  Incentives
Himalaya Labs,Graphic Design, 8000 /month
Avodha,Graphic Design, 6000 /month
Techma IT Services Private Limited,PHP Development, 9000-12000 /month
One Stone,Business Development (Sales), 7000-12000 /month
Scholenberg International Private Limited,Marketing, 10000 /month
Asthra Projects Group,Graphic Design, 6000-10000 /month
Mirus Solutions Private Limited,Marketing, 5000-10000 /month
Gamapp Sportswizz League,Front End Development, 10000 /month
Complete Solutions,Marketing, 7000 /month
Gamapp Sportswizz League,Backend Development, 10000 /month
Ashutosh Pandit,Business Development (Sales), 10000 /month +  Incentives
Honest Designs,Graphic Design, 4000-9000 /month
Bditto,Flutter Development, 8000-12000 /month
CogniAble,Software Testing, 7000 /month
Tars (Tarsense Technologies Private Limited),Full Stack Development, 30000 /month
QuikieApps,Mobile App Development, 20000 /month
LaughGuru,Marketing, 4000-7000 /month
Learning Brothers,Business Development (Sales), 5000-10000 /month
Tredence Analytics Solution,Marketing, 25000 /month
Republic Of Sellers,Graphic Design, 5000-6500 /month
AffinityAnswers,Front End Engineering, 27000 /month
RashTech Info,Graphic Design, 8000 /month
LogIQids,Marketing, 10000 /month
Nemesis Consultants LLP,Python Development, 8000 /month
Voosh Foods,Graphic Design, 6000 /month
Canpe Solutions,Platform And Operations Engineering, 6000-7000 /month
Metricoid Technology Solutions Private Limited,PHP Development, 7000 /month
CreditVidya,Mobile App Development, 15000 /month
Varlyq Technologies,Web Development, 6000 /month
Kenmark ITan Solutions,Angular Development, 15000-20000 /month
Canpe Solutions,Software Development Engineering, 8000-10000 /month
SFT Technologies India,Graphic Design, 12000 /month
Eassy Innovative Services Private Limited,Graphic Design, 15000-20000 /month
Metricoid Technology Solutions Private Limited,PHP Development, 20000-30000 /month
Taqtics,React Native Development, 7000 /month
Antino Labs Private Limited,Android App Development (Kotlin), 10000-15000 /month
NCR Eduservices Private Limited,Business Development (Sales), 6000 /month
Maximl Labs Private Limited,Graphic Design, 15000-20000 /month
SkillSanta,Teaching (Technical), 18000 /month
Aim2Excel,Mobile App Development, 2000-6000 /month
Nvogue Design Studio,Graphic Design, 10000 /month
Voosh Foods,Business Development (Sales), 6000 /month
Electra Ventures,Marketing, 12500 /month
Euman Therapeutics,Graphic Design, 15000-25000 /month
SIRPI Products & Services Private Limited,API Development (Flask And Node.js), 14000 /month
Recit,Graphic Design, 17500-22500 /month
Wednesday Solutions,Flutter/Dart Development, 8000 /month
TStock Mantra Investments,Graphic Design, 5000-10000 /month
Dough One Sources Private Limited,Marketing, 9500 /month
Grabye Media,Graphic Design, 2000-6000 /month
TechWeirdo Consultancy Private Limited,Business Development (Sales), 10000 /month
Mslate Healthcare Private Limited,Software Testing, 5000-10000 /month
Digite Incorporated,Front End Development, 20000 /month
Embedded Technosolutions,Embedded Systems, 10000-14000 /month
Techera Knowledge And Careers,Marketing, 2000-6000 /month
SurePass Technologies Private Limited,Python Development, 10000 /month
Lodha Ivory Technologies,Mobile App Development, 20000 /month
MapOut,Visual Design, 20000-30000 /month
LenzGig,Business Development (Sales), 10000 /month
Yellow Oak Realty,Business Development (Sales), 10000-15000 /month
Ohfound Tech,Full Stack Development, 25000 /month
PRIXLED,Web Development (Redux), 6000-10000 /month
NeoSOFT Technologies,Marketing, 8000 /month
Last Minute Shots,Graphic Design, 5000-10000 /month
Millibot LLP,Business Development (Sales), 3000-8000 /month
Peoplicity Private Limited,Web Development, 10000 /month
Nxt Quantum Technologies,Full Stack Development, 7000-12000 /month
Chat360,Web Development, 10000 /month
Bizotics,Web Development, 17000 /month
Unbound,Business Development (Sales), 8000 /month
Emoha Eldercare,Zoho (Coding), 20000 /month
Breakout,Graphic Design, 5000-7000 /month
Barcode Entertainment,Marketing, 10000 /month
Exalogic Consulting,React Native, 7000-14000 /month
Tiyana Incorporation,Business Development (Sales), 10000-15000 /month
Antino Labs Private Limited,Angular.js Development, 10000-15000 /month
Ravtek,B2C Sales, 8000-15000 /month
The One World,Graphic Design, 10000 /month
Able Jobs,Sales And Marketing, 12000-15000 /month
Bridcodes Global Private Limited,Graphic Design, 8000-12000 /month
Bharati Robotic Systems,Mobile App Development, 6000-10000 /month
Playgator,Mobile App Development, 10000 /month
Trisetra,Computer Vision Labeling, 20000-25000 /month
Sarvajna Info Tech LLP,Web Development, 7000-10000 /month
Blaash Gaming Solutions Private Limited,Game Development, 9000 /month
Go Digital Technology Consulting,Data Engineering, 16000 /month
Würfel,Marketing, 7000 /month
Adrija Chakrabarti,Graphic Design, 10000-20000 /month
Brandintelle,Product Management, 9000-12000 /month
Adrija Chakrabarti,Graphic Design, 10000-20000 /month
ISchoolConnect Technologies India,Marketing, 10000 /month
9I Digital Services LLP,Android App Development, 6000-10000 /month
Laxaar,React UX/UI Development, 8000-10000 /month
9I Digital Services LLP,Web Development, 5000-8000 /month
Saadho Sangha Foundation,Web Development, 8000-10000 /month
Fast Grip,Graphic Design, 10000 /month
Adrija Chakrabarti,Graphic Design, 10000-20000 /month
Ekostay LLP,Social Media Creative Management, 10000-12000 /month
ILS Network,WordPress Website Development, 5000-8000 /month
Platos,Web Development, 15000-25000 /month
Cusmat,Unity AR/VR Development, 5000-10000 /month
Quantta Analytics,Web Development, 7000 /month
GrowBig Digital,Marketing, 10000 /month
UFaber Edutech,Business Development (Sales), 10000-12000 /month
DeepLogic AI,Graphic Design, 10000 /month +  Incentives
Eddygoo Media Tech Private Limited,Mobile App Development, 15000 /month
YBox Media LLP,React Native Development, 7000-10000 /month
Axium Business Solution,Internet Of Things (IoT), 7500-13000 /month
OST Placement Search Private Limited,Python/ML Development, 10000 /month
Square Panda,Marketing, 8000 /month
IComply Lifescience Solutions Pvt Limited,Web Development, 10000-12000 /month
Verd Media,Web Development, 7000 /month
Sensor Equation,Software Automation Development, 4000-8000 /month
Wonderhood,Articulate 360 Development, 15000 /month
Stamurai,Business Development (Sales), 10000 /month +  Incentives
Delve Serwiz Private Limited,Graphic Design, 15000-18000 /month
Dimentics Info Tech Private Limited,Subject Matter Expert (Electrical Engineering), 12000-14000 /month
Squalas,Mulesoft & API, 9000-18000 /week
Sigaram Technologies,Business Development (Sales), 20000 /month +  Incentives
Dough One Sources Private Limited,Business Development (Sales), 7500 /month
Dimentics Info Tech Private Limited,Subject Matter Expert (Chemical Engineering), 12000-14000 /month
Dimentics Info Tech Private Limited,Subject Matter Expert (Mechanical Engineering), 12000-14000 /month
SkillCounty,Data Science (Audio/Video Data & Machine Learning), 5000-10000 /month
Āroka,Graphic Design, 8000-15000 /month
Blossom Abroad,Web Development, 6000 /month
MyMegaminds,Academic Content Writing (CS), 10000 /month
MyMegaminds,Academic Content Writing (R Language), 10000 /month
TeachEdison Solutions Private Limited,Mobile App Development, 15000 /month
Sanket Jain,Web Development, 12500-18000 /month
FinsightAI Technologies Private Limited,Python Web Scraping, 6000-12000 /month
PDR,Business Development (Sales), 6000 /month +  Incentives
Impactional Games Private Limited,HTML5 Game Development, 18000-25000 /month
Infuzex Ventures,Web Development, 10000 /month
Radiant Cloud Technology Solutions,Application Development, 7000-10000 /month
Fostr Reads,Mobile App Development, 8000-12000 /month
Wingify Software,Web Development, 15000 /month
OkayG,Cloud Computing, 7000 /month
OkayG,Linux Development, 10000 /month
Househat,Business Development (Sales), 6500 /month
Guni,Graphic Design, 5000-8000 /month
TheDigitalShift,Business Development (Sales), 7500 /month
Bytelearn,Software Engineering (Automation), 20000 /month
Eassy Innovative Services Private Limited,Marketing, 15000 /month
Tag8,Backend Development, 6000 /month
IOTA ESOLUTION PRIVATE LIMITED,QA Engineering, 6000 /month
PRIXLED,Django Rest Framework Development, 6000-8500 /month
Mad Over Social,Marketing, 5000-9000 /month
SkillSanta,Counselling, 4000-9000 /month
Regime Tax Solutions Private Limited,Java Development, 15000 /month
A Plus Topper,Graphic Design, 10000 /month
Aarnav Softech,Web Development, 7000-12000 /month
Falconnect Technologies Private Limited,Graphic Design, 5000-10000 /month
Streamoid Technologies Private Limited,CLO3D Designing, 25000 /month
SkillTern,Business Development (Sales), 3000-8000 /month
REPOZITORY TECHNOLOGIES PRIVATE LIMITED,Web Development, 20000 /month
Airblack,iOS App Development, 20000 /month
Saraf Tech,Web Development, 15000 /month
Kailash Devrari,Mobile App Development, 15000-25000 /month
SalesEdge,Business Development (Sales), 15000-17000 /month
Thrifty Software Private Limited,Flutter Development, 8000-12000 /month
Sigaram Technologies,Web Development, 15000 /month
Offql,Android App Development, 6000-10000 /month
Rivigo Services Private Limited,Graphic Design, 6000 /month
Learning Paths (The Bag),React Application Development, 5000-7000 /month
Learning Paths (The Bag),MERN Stack Application Development, 5000-10000 /month
Newton School,Marketing, 6000 /month
OyeLabs,Software Quality Assurance Engineering, 5000-10000 /month
Abinas Patnaik,Python Engineering, 18000-25000 /month
GameLoot,Marketing, 6000-8000 /month
YBox Media LLP,React.js Development, 7000-10000 /month
Obliq Labs,ReactJS development, 15000 /month
Manthan Creations,Graphic Design, 6000-8000 /month
Grroom,Flutter Development, 20000 /month
The Digital Leads,Graphic Design, 8000 /month
Redwine Digital,Graphic Design, 3000-6000 /month
Axium Business Solution,Python Development, 8000-12000 /month
Axium Business Solution,Robotics, 7500-12000 /month
MapOut,MERN Stack Development, 15000-20000 /month
Akshat Tambi,Graphic Design and Video Editing, 6000-10000 /month
Seven X Tech,Graphic Design, 8000-10000 /month
Spectra Cube,Web Development, 7500 /month
WinSple LLC,Web Development, 10000 /month
OyeLabs,Android App Development, 5000-10000 /month
Eskape,Marketing, 10000 /month
OkayG,Web Designing, 7000 /month
OkayG,Node.js Development, 7000 /month
Valerio Electric Private Limited,Backend Development, 15000-20000 /month
Blackcoffer,Web Development, 8000-12000 /month
Broxer Technologies Private Limited,WordPress Setup & Customization, 8000-15000 /month
Hospitality Minds,Web Development, 5000-7000 /month
FynTune Solution Private Limited,Quality Testing, 6000-8000 /month
Airblack,Graphic Design, 10000 /month
Thrifty Software Private Limited,Web Development, 10000-15000 /month
Himalaya Labs,Web3 Coding Development & Dapps Creation, 7000 /month
Himalaya Labs,Blockchain Smart Contracts & Web Development, 7000 /month
CADD Centre,AutoCAD Interior Design, 6000 /month
Ind-Aust Maritime Private Limited,Product Marketing, 8000-12000 /month
Alban Communications India Private Limited,Graphic Design, 10000-15000 /month
Kiron Servepreneurs Private Limited,Marketing, 10000 /month
Garg Fuel Centre,Business Development (Sales), 10000 /month +  Incentives
Renao Manufacturing Private Limited,Mechatronics Engineering, 15000 /month
DIATOZ Solutions,ReactJS development, 15000 /month
Seven Pillars Design Studio,Graphic Design, 7000-10000 /month
ExpertCache Technologies Private Limited,Web Development, 10000-15000 /month
Lodha Ivory Technologies,Marketing, 12000 /month
CTWS Software & Technology,WordPress Development, 3000-6000 /month
Lodha Ivory Technologies,Graphic Design, 15000 /month
Konnect Digital Solutions,Graphic Design, 6000 /month
Webknot Technologies Private Limited,Web Development, 8000-15000 /month
Shivtech Marine Control Systems & Services Private Limited,Business Development (Sales), 10000-18000 /month
Radiant Cloud Technology Solutions,Cloud Engineering & DevOps, 7000-10000 /month
Ricavi Media,Graphic Design, 8000 /month
Hypersonix Incorporation,Software Engineering (Python Development), 30000 /month
Medmonx Enterprises Private Limited,Business Development (Sales), 10000 /month
Olive And Gray,Web Development, 6000 /month
Lodha Ivory Technologies,Web Development, 12000 /month
Ohfound Tech,Graphic Design, 10000 /month
Miraya Wealth Advisors Private Limited,Graphic Design/Animation, 5000-10000 /month
Dcoder,Web Development (ReactJS), 8000-10000 /month
Asymmetric Technologies Private Limited,Graphic Design, 5000-10000 /month
YMedia,Graphic Design, 7000-10000 /month
Aim2Excel,Graphic Design, 3000-7000 /month
Rebel Foods Private Limited,Graphic Design, 10000 /month
Weetaan,Graphic Design, 15000-20000 /month
Techinnovadors,Graphic Design, 3000-7000 /month
Weetaan,Web Development, 3000-6000 /month
Make My Vid,Business Development (Sales), 8000 /month
Saifive (Anandacharam Group),Marketing, 8000 /month
KUKbit Software Lab,AWS Cloud Management, 17000 /month
Crimson Cobalt,Web Development, 10000 /month
Stellarflux,Web Development, 6000-12000 /month
Seekapp,Flutter And Firebase Development, 15000 /month
UMM Digital,Graphic Design, 8000-10000 /month
Carrier Solution,Web Development, 7000 /month
Carrier Solution,Mobile App Development, 9000 /month
Codeyoung,Marketing, 15000 /month
Kidaura Innovations,Flutter App Development, 8000-10000 /month
Kidaura Innovations,Web Development, 10000 /month
Intelizon Systems,Web Development, 8000-10000 /month
Terobots Enterprise AI,Business Development (Sales), 8000 /month
Last Local App Solutions,Graphic Design, 7500-15000 /month
Ohfound Tech,Business Development (Sales), 10000 /month
Thrifty Software Private Limited,Mobile App Development, 8000-12000 /month
Third Origin LLC,QA Analysis, 10000 /month
Think Gestalt,Graphic Design, 6000-8000 /month
Dealfind,Web Development, 4000-6000 /month
Arcitech,Graphic Design, 5000-10000 /month
Delhi Kids Fashion Week,Business Development (Sales), 4000-7000 /month
Imperial International Sports Academy (IISA),Information Technology, 8000 /month
Winuall,Customer Interaction, 7000 /month
Kaarwan,Business Development (Sales), 8000-15000 /month
Exam-Practice,Web Development, 15000 /month
Kan Innovations,Game Development, 8000 /month
Parallel Plaids Uniforms Private Limited,Business Development (Sales), 12000 /month +  Incentives
Last Local App Solutions,Graphic Design, 5000-10000 /month
Avivo Media Private Limited,Graphic Design, 7000-10000 /month
Property Services,Business Development (Sales), 7000 /month +  Incentives
Turnip Innovations,Marketing, 15000 /month
Mirraw Online Services Private Limited,Web Development, 6000 /month
Samantechnosys,Web Development, 8000 /month
LeadSquared,Business Analysis, 20000 /month
LOFO Services Private Limited,Business Development (Sales), 7000 /month
AdaptNXT Technology Solutions,Business Development (Sales), 5000-7000 /month
Play Shifu,Business Development (Sales), 6000 /month
I-Record Infotech Solutions Private Limited,Marketing, 10000-14000 /month
Rahul Raghuwanshi,Full Stack Development, 15000 lump sum
Xtreme Technologies,Front End Development, 15000-25000 /month
Orangefox,Business Development (Sales), 4000-8000 /month
Wonderhood,Web Development, 25000-35000 /month
Orangefox,Graphic Design, 3000-7000 /month
SplitMirror Picturez,3D Modeling & Texturing, 6000 /month
AUMHUM,Front End Development - Vue.js, 15000 /month
Universal Adventures,Graphic Design, 3000-7000 /month
TruEd Consulting Private Limited,Business Development (Sales), 13000 /month
Stoppress Communications,Graphic Design, 8000 /month
Rajasthan Studio,Graphic Design, 10000 /month
Expert Construction Co.,Mobile App Development, 8000 /month
Daffodil Health,UX/UI & Graphic Design, 8000 /month
Bridcodes Global Private Limited,Laravel Development, 4000-7000 /month
Cosy Designs (OPC) Private Limited,Marketing, 6000-10000 /month
The Entertainment Factory,Creative Design, 8000 /month
The SMarketers,Business Development (Sales), 10000 /month
The SMarketers,Graphic Design, 10000 /month
Webcube Infotech,Data Science (AI/Machine Learning & NLP), 6000 /month
F-GRADE GLOBAL SERVICES PRIVATE LIMITED,Web Development, 8000 /month
CSZR,Solidity Development, 10000-15000 /month
VsnapU,Graphic Design, 4000-7000 /month
Divija Chokhani,Graphic Design, 10000 /month
A-Dot Creation,Content Development (HTML CSS BOOTSTRAP JS), 10000-15000 /month
Karma Management Global Consulting Solutions Private Limited,Business Development (Sales), 10000-15000 /month
Karma Management Global Consulting Solutions Private Limited,Business Development (Sales), 10000-15000 /month
FULL Creative,System Engineering, 11400 /month
Supl.ai,Executive Assistance, 10000 /month
One Stone,Full Stack Development, 5000-10000 /month
Prolincur Technologies,Three.js Development (Web Front-end), 10000 /month
Dcoder,Backend Development (Node.js), 8000-10000 /month
Target100 Years,Mobile App Development, 7000-10000 /month
Stockarea,Business Development (Sales), 12000-18000 /month
IncRevenue,Front End Development, 10000-15000 /month
Beryl India,Graphic Design, 10000 /month
Emoolar Technology Private Limited,Mobile App Development, 15000 /month
Third Origin LLC,Python Development, 10000 /month
Troopr,QA Analysis, 15000 /month
Magnox Technologies Private Limited,Web Development, 15000-25000 /month
Lead Mines Media,Marketing, 8000 /month
Lead Mines Media,Business Development (Sales), 8000 /month
Techma IT Services Private Limited,Business Development (Sales), 11000-15000 /month
Donut Delights,Mobile App Development, 10000 /month
Shivaakriti Creations Private Limited,Graphic Design, 8000-12000 /month
Augmentastic Private Limited,Graphic Design, 5000-10000 /month
Indiefact,Graphic Design, 10000 /month
Cyber Flow,Web Development, 5000-10000 /month
Lightning Infotech Consulting Services,Web Development, 10000 /month
1Only Host,Mobile App Development, 3000-7500 /month
Supero Software,Node.js Development, 10000 /month
Rodeo Travel Technologies,Web Development, 8000 /month
EnR Consultancy Services,Full Stack Development, 3000-8000 /month
EnR Consultancy Services,WordPress Development, 1000-6000 /month
EnR Consultancy Services,Graphic Design, 3000-8000 /month
LightVue,Web Development, 4000-6000 /month
LightVue,Product Management, 8000-12000 /month
Āroka,Business Development (Sales), 8000-12000 /month
Interpret Media,Graphic Design, 5000-7000 /month
Cyber Saga,Mobile App Development, 25000 /month
Arctic Devs,Web Development, 7000 /month
ACVE Management Solutions,Graphic Design, 6000 /month
Vayuz Technologies Private Limited,Android App Development, 10000 /month
The Wise Idiot,Graphic Design, 2500-7000 /month
Brandquest,Android App Development, 7000 /month
Parent Protect,Full Stack Development, 6000-12000 /month
Workafy Technologies Private Limited,Marketing, 4000-6000 /month
ET Mannschafft,Business Development (Sales), 8000-15000 /month
The Bombay Digital Company,Graphic Design, 8000 /month
Qrata,Graphic Design, 6000 /month
Plush Ink,Web Development, 4000-6500 /month
Strux,Web Development, 10000 /month +  Incentives
Strux,Graphic Design, 10000 /month +  Incentives
Shikhar Agrawal,Angular Development, 3000-6000 /month
Shikhar Agrawal,Django BE Development, 3000-6000 /month
